"Age (in completed years)","Gender","Marital status","Place of current residence","Highest educational qualification completed before first migration","Field of study before migration (if applicable)","Did you obtain any formal educational qualification obtained abroad?","If yes, level of qualification obtained abroad","Country where qualification was obtained","Did you obtain any certification or skill development course abroad","If yes, what is the qualification","Did you pursue any further education or certification after returning","If yes, type of education","If yes, type of education/Degree program","If yes, type of education/Professional certification","If yes, type of education/Skill development course","Field/area of the education","Have you ever lived abroad for at least 6 months","If yes, Primary reason for going abroad","Country/countries of stay abroad","Total duration of stay abroad (in years)","Years of return to India","What is your age at return to India (in years)","Main reason for returning India","Did you work while abroad","Total years of work experience abroad","Type of work performed abroad","I acquired job-relevant technical skills during my stay abroad","I improved my digital and technology-related skills abroad","My communication and language skills improved due to foreign exposure","I developed adaptability and problem-solving skills while abroad","I received formal training or certification abroad useful in India","My foreign-acquired skills are transferable to the Indian labour market","Are you currently employed?","Time taken to find first job after return(months)","How did you find your first job after returning to India","How did you find your first job after returning to India/Family or friends","How did you find your first job after returning to India/Former foreign employer / contacts","How did you find your first job after returning to India/Online job portals","How did you find your first job after returning to India/Recruitment agencies","How did you find your first job after returning to India/Government employment office","How did you find your first job after returning to India/Self-employed / started own business","How did you find your first job after returning to India/Still unemployed","What is your current occupation?","Is your current job formal or informal","Did you switch to another job from the first job you entered after returning","If yes, what is your first job","If yes, Compared to your first job after return, your previous job is","Are you currently running a business","If yes, field of business","What was the main source of funds for starting this business?","What was the main source of funds for starting this business?/Personal savings earned abroad","What was the main source of funds for starting this business?/Family or Friends","What was the main source of funds for starting this business?/Bank loan/ Microfinance/ NBFC","What was the main source of funds for starting this business?/Govt schemes/ subsidy","What was the main source of funds for starting this business?/Other","How long have you been in your current Job","Does your business currently employ any paid worker?","If yes, how many paid worker you have","Are the workers employed by your business mostly","Do you have franchisee in abroad","Current monthly income","Are you aware there are government programs which helps the return migrants","Did you register with any employment exchange or government job portal after returning","Have you received any government support after returning? (Multiple responses allowed)","Have you received any government support after returning? (Multiple responses allowed) / Skill training","Have you received any government support after returning? (Multiple responses allowed) /Employment assistance","Have you received any government support after returning? (Multiple responses allowed) /Financial support","Have you received any government support after returning? (Multiple responses allowed) /None","Government programs helped me integrate into the labour market","To what extent are you able to use your foreign-acquired skills in your current job","My current job matches my skill level","My current job provides stable and secure employment","My employer values my foreign education or work experience","I see clear opportunities for career growth in my current job","Overall, I feel well integrated into the Indian labour market","What were the main difficulties you faced in finding suitable employment in India","What were the main difficulties you faced in finding suitable employment in India/Non-recognition of foreign qualifications","What were the main difficulties you faced in finding suitable employment in India/ Lack of suitable job opportunities","What were the main difficulties you faced in finding suitable employment in India/ Low wages offered","What were the main difficulties you faced in finding suitable employment in India/Skill mismatch","What were the main difficulties you faced in finding suitable employment in India/ Lack of networks","What were the main difficulties you faced in finding suitable employment in India/ Regional mismatch","What were the main difficulties you faced in finding suitable employment in India/None","Do you have any plan to go back abroad in future"
35,"Male","Married","Urban","Post-graduation","Data analysis","No",NA,NA,"Yes","Al","No",NA,NA,NA,NA,NA,"Yes","Employment","Japan",6,2022,31,"Family or personal reasons","Yes",6,"Data analysis",5,5,5,4,5,5,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Manager","Formal","Yes",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,85000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,4,5,5,4,"Low wages offered  Regional mismatch",0,0,1,0,0,1,0,"Not sure"
28,"Female","Single","Semi-urban","Higher secondary",NA,"Yes","Under-graduation","Nursing","Yes",NA,"Yes","Professional certification",0,1,0,NA,"Yes","Both study and work","Belgium",8,2025,27,"Family or personal reasons","Yes",3,"Nurse",5,5,5,4,5,5,"Yes",2,"Recruitment agencies",0,0,0,1,0,0,0,"Nurse","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,40000,"No","No","None",0,0,0,1,"Strongly disagree",5,5,3,4,3,4,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
26,"Female","Single","Semi-urban","Under-graduation","BA","Yes","Post-graduation","Germany","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Higher education","Germany",4,2025,25,"Completion of studies","Yes",1,"Shop assistant",3,3,5,3,2,4,"Yes",2,"Online job portals",0,0,1,0,0,0,0,"Analyst","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,45000,"No","No","None",0,0,0,1,"Strongly disagree",4,4,3,4,3,3,"Regional mismatch  Low wages offered",0,0,1,0,0,1,0,"Yes"
29,"Female","Single","Semi-urban","Under-graduation","BA","Yes","Post-graduation","MBA","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","Australia",5,2025,28,"Family or personal reasons","Yes",2,"IT sector",4,4,5,4,4,4,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Manager","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,60000,"No","No","None",0,0,0,1,"Disagree",5,5,5,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
58,"Female","Married","Urban","Under-graduation","Fashion design","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Family reasons","UK",12,2020,52,"Family or personal reasons","Yes",10,"Industrial employee",4,3,4,3,3,4,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Saloon","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","Yes","3-5","Both family and non-family hired workers","No",60000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
65,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Kuwait",30,2020,60,"End of work contracts","Yes",30,"Domestic work",4,3,5,3,3,4,"Yes",12,"Family or friends",1,0,0,0,0,0,0,"Manager","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,40000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",5,5,3,5,3,5,"Low wages offered",0,0,1,0,0,0,0,"No"
42,"Female","Married","Semi-urban","Under-graduation","Bcom","Yes","Post-graduation","UK","No",NA,"Yes","Professional certification",0,1,0,NA,"Yes","Both study and work","UK",10,2015,32,"Family or personal reasons","Yes",8,"Banking and Finance",4,4,4,4,3,4,"Yes",6,"Online job portals",0,0,1,0,0,0,0,"Corporate finance","Formal","Yes",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,120000,"Yes","No","None",0,0,0,1,"Disagree",5,5,5,5,5,4,"Low wages offered",0,0,1,0,0,0,0,"No"
39,"Male","Married","Semi-urban","Under-graduation","Bcom","Yes","Post-graduation","Germany","No",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","Germany",15,2023,36,"Family or personal reasons","Yes",12,"Banking and Finance",4,4,4,4,4,4,"Yes",6,"Online job portals",0,0,1,0,0,0,0,"Financial analyst","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,65000,"No","No","None",0,0,0,1,"Disagree",4,4,4,3,4,4,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
37,"Female","Married","Urban","Post-graduation","Mtech","Yes","Other","Germany","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","Germany",10,2023,35,"Completion of studies","Yes",5,"Engineer",5,5,5,5,5,5,"Yes",2,"Online job portals",0,0,1,0,0,0,0,"Senior Software engineer","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,1e+05,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,4,"Low wages offered",0,0,1,0,0,0,0,"No"
30,"Male","Single","Urban","Under-graduation","Bsc","Yes","Post-graduation","Australia","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","Australia",5,2024,28,"Completion of studies","Yes",3,"Corporate",4,4,4,3,4,5,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Analyst","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,70000,"Yes","No","None",0,0,0,1,"Disagree",5,5,5,5,4,3,"Low wages offered",0,0,1,0,0,0,0,"Yes"
61,"Male","Married","Semi-urban","Under-graduation","BA","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Bahrain",15,2021,56,"End of work contracts","Yes",15,"Manager",4,4,4,2,3,4,"Yes",8,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Retailer","Personal savings earned abroad",NA,NA,NA,NA,NA,"1-3year","No",NA,NA,NA,32000,"Yes","No","None",0,0,0,1,"Disagree",1,1,1,1,1,1,"Lack of suitable job opportunities  Low wages offered Skill mismatch",0,1,1,1,0,0,0,"Not sure"
66,"Male","Married","Urban","Under-graduation","Bcom","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",20,2022,63,"End of work contracts","Yes",19,"Manager",4,4,5,4,3,4,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Travelling agency","Personal savings earned abroad",1,0,0,0,0,"1-3 years","Yes","3-5","Non-family hired workers","No",80000,"Yes","No","Financial support",0,0,1,0,"Disagree",4,4,3,4,4,4,"Lack of suitable job opportunities  Regional mismatch",0,1,0,0,0,1,0,"No"
67,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",17,2021,62,"Covid 19 or other external shocks","Yes",17,"Business",4,4,5,5,3,4,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Quarry","Bank loan/ Microfinance/ NBFC Personal savings earned abroad",1,0,1,0,0,"1-3 years","Yes","more than 10","Non-family hired workers","No",1e+05,"Yes","No","Financial support",0,0,1,0,"Disagree",4,4,4,3,3,3,"Lack of suitable job opportunities  Regional mismatch",0,1,0,0,0,1,0,"No"
65,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",12,2020,60,"Covid 19 or other external shocks","Yes",12,"Carpenter",3,2,4,3,1,4,"Yes",2,"Family or friends",1,0,0,0,0,0,0,"Technician","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,30000,"Yes","No","Financial support",0,0,1,0,"Disagree",4,4,3,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
58,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",8,2021,53,"Family or personal reasons","Yes",8,"Mechanic",4,3,4,2,2,4,"Yes",3,"Recruitment agencies",0,0,0,1,0,0,0,"Technician","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Disagree",4,4,3,4,3,3,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"No"
57,"Male","Married","Semi-urban","Under-graduation","Agriculture","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Bahrain",5,2020,50,"Family or personal reasons","Yes",5,"Manager",4,3,4,3,2,4,"Yes",6,"Recruitment agencies",0,0,0,1,0,0,0,"Farm officer","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,35000,"Yes","No","None",0,0,0,1,"Disagree",4,4,3,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
30,"Male","Married","Urban","Under-graduation","Btech","Yes","Post-graduation","Germany","No",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","Germany",6,2025,29,"Completion of studies","Yes",3,"Engineer",4,4,4,4,3,4,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Start up","Bank loan/ Microfinance/ NBFC Personal savings earned abroad",1,0,1,0,0,"6-1 year","Yes","more than 10","Non-family hired workers","No",80000,"Yes","No","None",0,0,0,1,"Disagree",4,4,4,4,4,4,"Low wages offered  Lack of networks  Regional mismatch",0,0,1,0,1,1,0,"Not sure"
68,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Kuwait",10,2020,63,"End of work contracts","Yes",10,"Sales executive",3,3,4,3,2,4,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Textile","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","1-2","Both family and non-family hired workers","No",60000,"Yes","No","Financial support",0,0,1,0,"Disagree",4,4,3,4,4,4,"Low wages offered  Regional mismatch  Lack of networks",0,0,1,0,1,1,0,"No"
40,"Female","Married","Semi-urban","Under-graduation","Nursing","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Iran",5,2020,35,"Other","Yes",5,"Nurse",4,4,4,4,4,4,"Yes",3,"Recruitment agencies",0,0,0,1,0,0,0,"Nurse","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 years",NA,NA,NA,NA,42000,"Yes","No","None",0,0,0,1,"Disagree",4,4,3,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
64,"Female","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Family reasons","Qatar",10,2021,60,"Family or personal reasons","Yes",5,"Business",3,4,4,4,3,3,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Bakery","Family or Friends",0,1,0,0,0,"More than 3 years","Yes","1-2","Non-family hired workers","No",60000,"No","No","None",0,0,0,1,"Strongly disagree",4,4,3,3,3,3,"None",0,0,0,0,0,0,1,"No"
50,"Male","Married","Urban","Under-graduation","BA","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Bahrain",20,2025,49,"Other","Yes",20,"Construction sector",2,2,4,2,2,4,"Yes",6,"Construction sector",0,0,0,0,0,1,0,"Construction sector","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,25000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",3,3,3,3,3,3,"None",0,0,0,0,0,0,1,"No"
28,"Female","Single","Urban","Under-graduation","BA","Yes","Post-graduation","France","No",NA,"No",NA,NA,NA,NA,NA,"Yes","Higher education","France",3,2024,26,"Completion of studies","No",0,"Nill",2,4,5,5,4,4,"Yes",9,"Online job portals",0,0,1,0,0,0,0,"Research assistant","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,45000,"Yes","No","None",0,0,0,1,"Disagree",4,5,4,4,4,4,"Regional mismatch",0,0,0,0,0,1,0,"Not sure"
37,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Ireland",8,2024,35,"Family or personal reasons","Yes",8,"Driver",4,3,4,3,3,4,"Yes",1,"Family or friends",1,0,0,0,0,0,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,35000,"No","No","None",0,0,0,1,"Disagree",5,5,3,4,3,3,"Low wages offered  Lack of networks",0,0,1,0,1,0,0,"Yes"
29,"Male","Single","Urban","Higher secondary",NA,"Yes","Under-graduation",NA,"No",NA,"Yes","Professional certification",0,1,0,NA,"Yes","Higher education","Italy",5,2024,27,"Family or personal reasons","Yes",1,"Corporate",4,3,5,2,4,5,"Yes",8,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Cafe","Family or Friends Bank loan/ Microfinance/ NBFC",0,1,1,0,0,"1-3 years","Yes","1-2","Non-family hired workers","No",60000,"No","No","None",0,0,0,1,"Disagree",4,4,3,3,3,3,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"Yes"
52,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",10,2020,46,"Covid 19 or other external shocks","Yes",10,"Construction sector",3,2,4,2,2,4,"Yes",2,"Family or friends",1,0,0,0,0,0,0,"Domestic work","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Disagree",4,3,3,2,3,3,"Low wages offered  Regional mismatch",0,0,1,0,0,1,0,"No"
45,"Male","Married","Semi-urban","Other","Diploma","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",8,2023,42,"Better job opportunities in India","Yes",8,"Shop assistant",2,3,4,2,2,4,"Yes",0,"Former foreign employer / contacts",0,1,0,0,0,0,0,"Shop assistant","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,30000,"Yes","No","None",0,0,0,1,"Disagree",4,4,4,5,4,3,"None",0,0,0,0,0,0,1,"No"
50,"Male","Married","Rural","Other","Diploma","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",10,2022,46,"Family or personal reasons","Yes",10,"Carpenter",4,3,4,3,1,4,"Yes",2,"Family or friends",1,0,0,0,0,0,0,"Technician","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,45000,"No","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
49,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Kuwait",8,2020,42,"Covid 19 or other external shocks","Yes",8,"Industrial employee",3,3,4,3,2,4,"Yes",3,"Family or friends",1,0,0,0,0,0,0,"Construction sector","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,35000,"Yes","No","None",0,0,0,1,"Disagree",4,4,4,2,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
45,"Male","Married","Semi-urban","Under-graduation","Bcom","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",10,2024,43,"Family or personal reasons","Yes",10,"Corporate",4,4,4,3,2,4,"Yes",3,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Retailer","Personal savings earned abroad Family or Friends",1,1,0,0,0,"1-3 years","Yes","1-2","Both family and non-family hired workers","No",60000,"Yes","No","None",0,0,0,1,"Disagree",4,3,3,3,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
53,"Female","Married","Urban","Under-graduation","BA","Yes","Post-graduation","USA","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","USA",10,2021,49,"Family or personal reasons","Yes",8,"Business analyst",4,5,5,4,5,5,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Cafe","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","3-5","Non-family hired workers","No",80000,"No","No","None",0,0,0,1,"Disagree",5,4,4,4,4,4,"Regional mismatch  Lack of networks",0,0,0,0,1,1,0,"No"
39,"Female","Married","Semi-urban","Other","B.ed","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Family reasons","Oman",12,2023,37,"Family or personal reasons","Yes",10,"Teaching profession",4,4,4,4,4,4,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Teaching profession","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,50000,"No","No","None",0,0,0,1,"Disagree",5,5,5,5,4,4,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
44,"Male","Married","Semi-urban","Other","Diploma","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Qatar",5,2018,37,"Family or personal reasons","Yes",5,"Shop assistant",3,2,4,2,2,3,"Yes",12,"Government employment office",0,0,0,0,1,0,0,"Govt service","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,35000,"Yes","Yes","Employment assistance",0,1,0,0,"Disagree",3,4,4,1,4,4,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"No"
67,"Male","Married","Urban","Other",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Qatar",20,2020,62,"Family or personal reasons","Yes",18,"Business",4,4,5,4,3,4,"Yes",5,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Real estate","Bank loan/ Microfinance/ NBFC Personal savings earned abroad",1,0,1,0,0,"More than 3 years","Yes","5-10","Non-family hired workers","No",150000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",4,4,4,4,4,4,"Regional mismatch",0,0,0,0,0,1,0,"No"
35,"Female","Married","Urban","Post-graduation","Msc","Yes","Post-graduation","Germany","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","USA",8,2024,34,"Family or personal reasons","Yes",5,"Research assistant",5,5,5,4,4,5,"Yes",5,"Online job portals",0,0,1,0,0,0,0,"Computational biologist","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,65000,"No","No","None",0,0,0,1,"Strongly disagree",5,5,5,4,4,4,"Low wages offered  Regional mismatch  Lack of suitable job opportunities",0,1,1,0,0,1,0,"No"
37,"Male","Married","Urban","Under-graduation","Bsc","Yes","Post-graduation","Sweden","Yes","Phd","No",NA,NA,NA,NA,NA,"Yes","Both study and work","USA",10,2024,35,"Family or personal reasons","Yes",5,"Teaching profession",5,5,5,5,5,5,"Yes",3,"Government employment office",0,0,0,0,1,0,0,"Teaching profession","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,1e+05,"No","No","None",0,0,0,1,"Disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
58,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",12,2020,53,"Covid 19 or other external shocks","Yes",12,"Domestic work",4,2,4,2,1,4,"Yes",6,"Family or friends",1,0,0,0,0,0,0,"Domestic work","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,30000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,3,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
59,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",11,2021,54,"End of work contracts","Yes",10,"Shop assistant",4,3,4,3,1,4,"Yes",6,"Family or friends",1,0,0,0,0,0,0,"Shop assistant","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,25000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",4,4,3,2,3,3,"Low wages offered  Lack of networks  Lack of suitable job opportunities",0,1,1,0,1,0,0,"No"
46,"Male","Married","Rural","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Bahrain",8,2022,42,"Family or personal reasons","Yes",8,"Shop assistant",4,3,4,2,1,4,"Yes",6,"Family or friends",1,0,0,0,0,0,0,"Manager","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,40000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
49,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Sharjah",10,2023,42,"Family or personal reasons","Yes",10,"Driver",3,3,4,3,4,4,"Yes",3,"Recruitment agencies",0,0,0,1,0,0,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,35000,"No","No","None",0,0,0,1,"Disagree",4,4,4,4,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
66,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",25,2024,64,"Other","Yes",24,"Business",5,4,5,4,2,4,"Yes",1,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Resturant","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"1-3 years","Yes","3-5","Non-family hired workers","No",70000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",4,5,4,3,4,4,"Regional mismatch  Low wages offered",0,0,1,0,0,1,0,"No"
30,"Male","Single","Urban","Under-graduation","Btech","No",NA,NA,"No",NA,"Yes","Professional certification",0,1,0,NA,"Yes","Employment","South Korea",3,2022,25,"Better job opportunities in India","Yes",3,"Engineer",5,5,5,5,3,4,"Yes",12,"Government employment office",0,0,0,0,1,0,0,"Govt service","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,65000,"Yes","No","None",0,0,0,1,"Strongly disagree",3,4,5,3,5,5,"None",0,0,0,0,0,0,1,"No"
58,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",18,2020,53,"End of work contracts","Yes",18,"Construction sector",3,2,4,2,2,4,"Yes",3,"Family or friends",1,0,0,0,0,0,0,"Agricultural work","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Strongly disagree",3,2,3,2,3,3,"Low wages offered",0,0,1,0,0,0,0,"No"
40,"Male","Married","Semi-urban","Under-graduation","Paramedical","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Newzealand",8,2024,39,"Family or personal reasons","Yes",6,"Paramedical staff",4,4,4,4,4,4,"Yes",1,"Online job portals",0,0,1,0,0,0,0,"Paramedical staff","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,45000,"No","No","None",0,0,0,1,"Strongly disagree",5,5,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
38,"Female","Married","Semi-urban","Under-graduation","Paramedical","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Newzealand",9,2024,37,"Family or personal reasons","Yes",7,"Paramedical staff",4,4,4,4,5,4,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Paramedical staff","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,40000,"No","No","None",0,0,0,1,"Strongly disagree",5,5,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
